0,1,2,3,4,5,6,7,8,9,10
shopping bags,yogurt,,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
bottled water,chewing gum,beef,brown bread,,,,,,,
tropical fruit,packaged fruit/vegetables,cereals,,,,,,,,
beef,cling film/bags,bottled water,butter,sweet spreads,candy,,,,,
pastry,brown bread,,,,,,,,,
hamburger meat,other vegetables,chocolate marshmallow,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
meat,whole milk,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
canned beer,yogurt,,,,,,,,,
frankfurter,curd cheese,chocolate,pastry,soda,,,,,,
yogurt,newspapers,,,,,,,,,
ham,brown bread,,,,,,,,,
seasonal products,other vegetables,,,,,,,,,
UHT-milk,other vegetables,cream cheese ,rolls/buns,,,,,,,
chicken,bottled beer,soda,domestic eggs,other vegetables,,,,,,
yogurt,bottled water,,,,,,,,,
whole milk,oil,,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pastry,long life bakery product,sliced cheese,yogurt,,,,,,,
shopping bags,shopping bags,,,,,,,,,
butter milk,whole milk,,,,,,,,,
dessert,bottled beer,,,,,,,,,
whole milk,tropical fruit,rolls/buns,soap,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
root vegetables,coffee,,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
root vegetables,softener,,,,,,,,,
male cosmetics,baking powder,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
frozen meals,jam,,,,,,,,,
citrus fruit,brown bread,cat food,,,,,,,,
canned beer,other vegetables,fruit/vegetable juice,,,,,,,,
frozen meals,butter,whole milk,brandy,,,,,,,
tropical fruit,whole milk,dish cleaner,yogurt,newspapers,,,,,,
whole milk,spread cheese,,,,,,,,,
ice cream,white wine,soups,instant coffee,,,,,,,
rolls/buns,tidbits,margarine,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whole milk,chocolate,,,,,,,,,
other vegetables,fruit/vegetable juice,oil,detergent,,,,,,,
beef,bottled water,,,,,,,,,
hard cheese,rolls/buns,root vegetables,napkins,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
rolls/buns,bottled water,other vegetables,finished products,other vegetables,butter,yogurt,rolls/buns,citrus fruit,,
citrus fruit,processed cheese,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
whole milk,napkins,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
bottled beer,tropical fruit,yogurt,berries,,,,,,,
other vegetables,rolls/buns,root vegetables,,,,,,,,
rolls/buns,mayonnaise,,,,,,,,,
onions,soda,rolls/buns,,,,,,,,
soda,bottled water,,,,,,,,,
coffee,shopping bags,,,,,,,,,
sausage,yogurt,,,,,,,,,
chicken,whole milk,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
hamburger meat,toilet cleaner,rolls/buns,,,,,,,,
chocolate marshmallow,whole milk,whole milk,,,,,,,,
root vegetables,ice cream,,,,,,,,,
specialty bar,margarine,,,,,,,,,
newspapers,fruit/vegetable juice,specialty chocolate,,,,,,,,
frozen chicken,white wine,,,,,,,,,
hygiene articles,chocolate,,,,,,,,,
pork,dessert,,,,,,,,,
canned beer,rolls/buns,other vegetables,brown bread,butter milk,whole milk,,,,,
butter,canned fish,cream cheese ,,,,,,,,
tea,pip fruit,,,,,,,,,
citrus fruit,bottled beer,rolls/buns,hygiene articles,softener,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
female sanitary products,pot plants,,,,,,,,,
whole milk,soda,,,,,,,,,
pip fruit,white wine,whole milk,,,,,,,,
pork,sugar,,,,,,,,,
pork,pudding powder,domestic eggs,,,,,,,,
frankfurter,pork,sliced cheese,candy,pastry,shopping bags,,,,,
soda,soups,,,,,,,,,
bottled water,specialty bar,curd,,,,,,,,
rice,margarine,,,,,,,,,
tropical fruit,soda,,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
root vegetables,yogurt,whole milk,,,,,,,,
beef,bottled water,,,,,,,,,
chicken,pip fruit,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
whole milk,curd,hygiene articles,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
other vegetables,pork,newspapers,,,,,,,,
hamburger meat,butter,,,,,,,,,
root vegetables,pastry,other vegetables,rolls/buns,,,,,,,
root vegetables,shopping bags,,,,,,,,,
chicken,whole milk,soda,,,,,,,,
ice cream,napkins,,,,,,,,,
domestic eggs,pasta,,,,,,,,,
ice cream,hamburger meat,shopping bags,whole milk,soft cheese,,,,,,
yogurt,rolls/buns,berries,whole milk,zwieback,brown bread,newspapers,,,,
whole milk,whole milk,,,,,,,,,
sweet spreads,margarine,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
whole milk,pastry,,,,,,,,,
grapes,root vegetables,other vegetables,,,,,,,,
pastry,soda,pastry,,,,,,,,
UHT-milk,sweet spreads,,,,,,,,,
bottled water,pork,salty snack,,,,,,,,
bottled beer,tropical fruit,red/blush wine,baking powder,,,,,,,
whole milk,whole milk,,,,,,,,,
onions,flour,,,,,,,,,
domestic eggs,bottled water,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
whole milk,whole milk,,,,,,,,,
berries,candy,rolls/buns,,,,,,,,
frankfurter,hard cheese,butter,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
frozen dessert,yogurt,,,,,,,,,
baking powder,condensed milk,,,,,,,,,
rolls/buns,chewing gum,other vegetables,,,,,,,,
pastry,napkins,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
soda,roll products ,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
ham,rolls/buns,tropical fruit,rolls/buns,,,,,,,
bottled water,yogurt,,,,,,,,,
rolls/buns,chocolate,,,,,,,,,
turkey,yogurt,,,,,,,,,
rolls/buns,newspapers,shopping bags,,,,,,,,
butter,berries,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
canned beer,rolls/buns,berries,domestic eggs,,,,,,,
whole milk,processed cheese,,,,,,,,,
whole milk,brown bread,,,,,,,,,
dessert,root vegetables,,,,,,,,,
chocolate,bottled water,,,,,,,,,
pork,other vegetables,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
coffee,butter,whipped/sour cream,other vegetables,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
yogurt,male cosmetics,sugar,salt,,,,,,,
frankfurter,soups,,,,,,,,,
female sanitary products,domestic eggs,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
other vegetables,butter,,,,,,,,,
canned beer,yogurt,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
candy,berries,mustard,,,,,,,,
rolls/buns,canned beer,bottled beer,ham,hamburger meat,pickled vegetables,salty snack,domestic eggs,soda,,
brown bread,ketchup,soda,,,,,,,,
whipped/sour cream,detergent,,,,,,,,,
beverages,canned vegetables,,,,,,,,,
packaged fruit/vegetables,house keeping products,,,,,,,,,
beef,bottled beer,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
sausage,cat food,,,,,,,,,
tropical fruit,spices,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
liver loaf,bottled water,bottled water,,,,,,,,
citrus fruit,margarine,sliced cheese,,,,,,,,
yogurt,root vegetables,,,,,,,,,
onions,citrus fruit,frozen vegetables,coffee,,,,,,,
bottled water,sausage,yogurt,bottled water,,,,,,,
chocolate marshmallow,flour,,,,,,,,,
pastry,meat,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
whipped/sour cream,bottled beer,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
beef,whole milk,frozen vegetables,soda,,,,,,,
sausage,UHT-milk,candles,chewing gum,bottled beer,artif. sweetener,butter,,,,
UHT-milk,butter milk,napkins,,,,,,,,
sausage,newspapers,,,,,,,,,
sweet spreads,newspapers,,,,,,,,,
pip fruit,other vegetables,semi-finished bread,sliced cheese,,,,,,,
whole milk,soda,,,,,,,,,
domestic eggs,soda,,,,,,,,,
nuts/prunes,whole milk,,,,,,,,,
beef,ice cream,other vegetables,,,,,,,,
soda,whole milk,newspapers,coffee,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
beef,newspapers,canned vegetables,,,,,,,,
soda,salt,,,,,,,,,
root vegetables,sliced cheese,shopping bags,sliced cheese,,,,,,,
brown bread,whole milk,light bulbs,,,,,,,,
flour,cream cheese ,,,,,,,,,
whole milk,newspapers,hygiene articles,,,,,,,,
domestic eggs,whole milk,brown bread,,,,,,,,
root vegetables,yogurt,,,,,,,,,
other vegetables,fruit/vegetable juice,white bread,,,,,,,,
beef,butter,brown bread,,,,,,,,
sausage,pastry,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
hygiene articles,seasonal products,,,,,,,,,
other vegetables,herbs,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
beef,canned beer,fruit/vegetable juice,,,,,,,,
pastry,napkins,shopping bags,margarine,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
citrus fruit,soda,berries,coffee,sugar,,,,,,
bottled water,oil,sausage,bottled beer,rolls/buns,bottled water,waffles,tropical fruit,frozen meals,,
other vegetables,soda,,,,,,,,,
pork,bottled water,baking powder,,,,,,,,
candy,domestic eggs,,,,,,,,,
brown bread,detergent,,,,,,,,,
butter,newspapers,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
frankfurter,rubbing alcohol,sparkling wine,other vegetables,domestic eggs,white bread,yogurt,soda,,,
other vegetables,liquor (appetizer),,,,,,,,,
beef,yogurt,,,,,,,,,
frankfurter,curd,coffee,,,,,,,,
grapes,coffee,,,,,,,,,
beverages,salt,,,,,,,,,
oil,shopping bags,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
detergent,pot plants,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
bottled beer,herbs,,,,,,,,,
red/blush wine,dessert,curd,rolls/buns,,,,,,,
pastry,baking powder,mustard,,,,,,,,
bottled water,root vegetables,,,,,,,,,
beef,UHT-milk,,,,,,,,,
sausage,pasta,bottled water,,,,,,,,
ice cream,fruit/vegetable juice,,,,,,,,,
dental care,curd,,,,,,,,,
sausage,soda,,,,,,,,,
margarine,house keeping products,whole milk,canned beer,,,,,,,
whole milk,yogurt,pastry,,,,,,,,
frankfurter,shopping bags,rolls/buns,,,,,,,,
berries,root vegetables,,,,,,,,,
dog food,white bread,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
sausage,sliced cheese,yogurt,pastry,hygiene articles,,,,,,
pork,napkins,,,,,,,,,
onions,cream cheese ,,,,,,,,,
whole milk,rolls/buns,soda,,,,,,,,
soda,bottled beer,baking powder,,,,,,,,
chicken,specialty bar,newspapers,liquor,,,,,,,
sausage,long life bakery product,beef,other vegetables,margarine,,,,,,
soda,soda,roll products ,,,,,,,,
sausage,newspapers,,,,,,,,,
citrus fruit,white wine,,,,,,,,,
pip fruit,soda,,,,,,,,,
bottled beer,oil,,,,,,,,,
seasonal products,oil,liquor (appetizer),cookware,,,,,,,
curd cheese,popcorn,,,,,,,,,
mayonnaise,chocolate,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
frozen meals,instant coffee,specialty chocolate,,,,,,,,
meat,shopping bags,UHT-milk,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled water,curd,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
pot plants,baking powder,,,,,,,,,
root vegetables,pastry,,,,,,,,,
rolls/buns,berries,,,,,,,,,
whole milk,grapes,pastry,yogurt,,,,,,,
whole milk,soft cheese,frozen vegetables,,,,,,,,
whole milk,white bread,canned beer,brown bread,fruit/vegetable juice,,,,,,
sausage,white bread,,,,,,,,,
other vegetables,pastry,,,,,,,,,
packaged fruit/vegetables,specialty bar,,,,,,,,,
chicken,whole milk,vinegar,shopping bags,,,,,,,
yogurt,rolls/buns,,,,,,,,,
citrus fruit,canned fish,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
dessert,yogurt,,,,,,,,,
whole milk,whole milk,ham,pip fruit,hard cheese,frozen fish,shopping bags,pot plants,,,
ham,misc. beverages,,,,,,,,,
meat,whole milk,,,,,,,,,
bottled beer,cat food,newspapers,,,,,,,,
berries,pet care,,,,,,,,,
yogurt,pastry,,,,,,,,,
whole milk,rice,,,,,,,,,
soda,liver loaf,,,,,,,,,
butter,rolls/buns,,,,,,,,,
pip fruit,tropical fruit,shopping bags,,,,,,,,
sausage,sausage,pastry,tropical fruit,whole milk,white wine,sweet spreads,whole milk,,,
jam,cake bar,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
canned beer,brown bread,,,,,,,,,
soda,bottled beer,,,,,,,,,
beef,herbs,,,,,,,,,
other vegetables,whole milk,sliced cheese,,,,,,,,
whole milk,canned beer,,,,,,,,,
brown bread,coffee,,,,,,,,,
light bulbs,pastry,domestic eggs,,,,,,,,
sausage,root vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
butter,sugar,,,,,,,,,
sausage,honey,beverages,soda,frozen dessert,whipped/sour cream,,,,,
berries,whole milk,,,,,,,,,
yogurt,other vegetables,baking powder,candy,,,,,,,
butter milk,chocolate,berries,sweet spreads,butter,long life bakery product,napkins,white bread,,,
soda,rolls/buns,,,,,,,,,
beef,butter,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
pork,other vegetables,shopping bags,,,,,,,,
brown bread,bottled beer,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
meat,pork,butter milk,cat food,,,,,,,
coffee,specialty fat,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
whole milk,baking powder,newspapers,,,,,,,,
whole milk,nuts/prunes,,,,,,,,,
whole milk,cake bar,,,,,,,,,
sausage,soda,,,,,,,,,
whole milk,other vegetables,pot plants,,,,,,,,
root vegetables,soda,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
pork,rolls/buns,brown bread,yogurt,,,,,,,
beef,mayonnaise,,,,,,,,,
beef,pork,,,,,,,,,
meat,dessert,,,,,,,,,
soda,sweet spreads,bottled beer,frozen meals,pasta,,,,,,
sausage,zwieback,sliced cheese,other vegetables,bottled beer,soda,,,,,
pickled vegetables,meat,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
frankfurter,beef,red/blush wine,whole milk,frozen dessert,,,,,,
ketchup,potato products,,,,,,,,,
UHT-milk,candles,,,,,,,,,
newspapers,specialty chocolate,,,,,,,,,
dessert,fruit/vegetable juice,,,,,,,,,
turkey,herbs,white bread,,,,,,,,
ice cream,whole milk,,,,,,,,,
canned beer,curd,coffee,flour,,,,,,,
root vegetables,onions,,,,,,,,,
whole milk,other vegetables,pip fruit,sparkling wine,,,,,,,
frankfurter,butter,bottled beer,,,,,,,,
pip fruit,grapes,,,,,,,,,
cream cheese ,frozen vegetables,sugar,coffee,,,,,,,
bottled beer,cream cheese ,chocolate,,,,,,,,
meat,margarine,,,,,,,,,
whole milk,frozen meals,shopping bags,whole milk,,,,,,,
waffles,salty snack,hard cheese,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
pot plants,newspapers,brown bread,,,,,,,,
beef,spices,,,,,,,,,
rolls/buns,berries,shopping bags,rice,,,,,,,
processed cheese,whole milk,soda,domestic eggs,,,,,,,
coffee,whole milk,,,,,,,,,
whole milk,hamburger meat,beverages,bottled water,,,,,,,
frozen vegetables,coffee,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
cream cheese ,semi-finished bread,,,,,,,,,
frozen meals,bottled beer,,,,,,,,,
root vegetables,butter,specialty bar,domestic eggs,,,,,,,
long life bakery product,butter,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pork,canned beer,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
butter milk,shopping bags,baking powder,,,,,,,,
grapes,butter,newspapers,pip fruit,,,,,,,
sweet spreads,male cosmetics,,,,,,,,,
flower soil/fertilizer,whole milk,,,,,,,,,
tropical fruit,berries,mayonnaise,,,,,,,,
hamburger meat,soda,cling film/bags,,,,,,,,
cream cheese ,canned beer,waffles,,,,,,,,
root vegetables,flour,,,,,,,,,
soda,yogurt,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
oil,flour,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
chicken,rolls/buns,newspapers,,,,,,,,
frozen meals,whole milk,,,,,,,,,
butter,citrus fruit,margarine,soda,whole milk,roll products ,,,,,
specialty bar,shopping bags,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
canned beer,sausage,pork,whipped/sour cream,margarine,pickled vegetables,pastry,,,,
pip fruit,cat food,,,,,,,,,
semi-finished bread,yogurt,,,,,,,,,
sausage,napkins,curd,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
soda,pastry,,,,,,,,,
whole milk,flour,,,,,,,,,
whole milk,newspapers,,,,,,,,,
other vegetables,berries,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pork,cream cheese ,UHT-milk,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
berries,other vegetables,,,,,,,,,
canned beer,whole milk,,,,,,,,,
detergent,whole milk,,,,,,,,,
soda,beverages,,,,,,,,,
soda,hygiene articles,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
canned beer,pastry,,,,,,,,,
canned beer,butter,margarine,domestic eggs,,,,,,,
citrus fruit,canned beer,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
beef,yogurt,,,,,,,,,
citrus fruit,hygiene articles,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
soft cheese,cream cheese ,,,,,,,,,
yogurt,sausage,yogurt,pip fruit,curd,,,,,,
whole milk,rolls/buns,dish cleaner,,,,,,,,
butter,seasonal products,fruit/vegetable juice,,,,,,,,
brown bread,processed cheese,,,,,,,,,
whole milk,canned beer,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
canned beer,sliced cheese,margarine,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
sausage,frozen meals,,,,,,,,,
pot plants,frozen vegetables,coffee,,,,,,,,
syrup,whole milk,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
long life bakery product,soda,,,,,,,,,
frozen meals,citrus fruit,,,,,,,,,
margarine,sausage,sausage,pork,citrus fruit,yogurt,frozen meals,other vegetables,,,
fruit/vegetable juice,whole milk,frozen vegetables,rolls/buns,,,,,,,
hamburger meat,ice cream,,,,,,,,,
bottled beer,ham,other vegetables,pork,whole milk,oil,brown bread,,,,
berries,butter,tea,,,,,,,,
other vegetables,dish cleaner,,,,,,,,,
pork,rolls/buns,,,,,,,,,
ham,rolls/buns,,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
herbs,whole milk,,,,,,,,,
butter,canned beer,,,,,,,,,
frozen potato products,female sanitary products,whole milk,other vegetables,fruit/vegetable juice,,,,,,
tropical fruit,other vegetables,,,,,,,,,
chicken,dog food,,,,,,,,,
soda,candles,rolls/buns,,,,,,,,
tropical fruit,hamburger meat,coffee,sliced cheese,whipped/sour cream,,,,,,
sausage,long life bakery product,,,,,,,,,
beef,pip fruit,bottled water,margarine,hygiene articles,,,,,,
pork,other vegetables,curd,domestic eggs,domestic eggs,domestic eggs,,,,,
dessert,whole milk,,,,,,,,,
pip fruit,popcorn,rolls/buns,bottled water,,,,,,,
sausage,rolls/buns,,,,,,,,,
shopping bags,beef,citrus fruit,cat food,,,,,,,
curd,root vegetables,pip fruit,whole milk,margarine,,,,,,
root vegetables,whipped/sour cream,rolls/buns,rolls/buns,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
frankfurter,soda,,,,,,,,,
soft cheese,pip fruit,,,,,,,,,
beef,bottled water,soda,,,,,,,,
frozen meals,domestic eggs,domestic eggs,,,,,,,,
soda,yogurt,white bread,,,,,,,,
finished products,rolls/buns,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
tropical fruit,butter,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
other vegetables,meat spreads,specialty cheese,,,,,,,,
citrus fruit,specialty chocolate,,,,,,,,,
butter milk,soups,canned fruit,,,,,,,,
misc. beverages,oil,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
pork,whole milk,,,,,,,,,
onions,whipped/sour cream,dishes,,,,,,,,
whole milk,bottled water,,,,,,,,,
frozen vegetables,pot plants,,,,,,,,,
whole milk,soda,,,,,,,,,
brown bread,pasta,,,,,,,,,
liquor,vinegar,,,,,,,,,
specialty chocolate,liquor,,,,,,,,,
soda,UHT-milk,newspapers,white bread,,,,,,,
soft cheese,semi-finished bread,,,,,,,,,
liqueur,yogurt,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
curd cheese,whole milk,long life bakery product,hard cheese,,,,,,,
pip fruit,fruit/vegetable juice,whipped/sour cream,soda,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
candles,canned fish,oil,,,,,,,,
root vegetables,butter,frozen vegetables,butter,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
other vegetables,yogurt,bottled water,,,,,,,,
other vegetables,whole milk,UHT-milk,other vegetables,frozen meals,whole milk,salty snack,,,,
soda,coffee,salty snack,,,,,,,,
white wine,rolls/buns,soda,white bread,,,,,,,
curd,domestic eggs,,,,,,,,,
bottled water,salty snack,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
bottled water,cream cheese ,curd,,,,,,,,
liver loaf,vinegar,whole milk,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
sausage,onions,mustard,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
dishes,shopping bags,,,,,,,,,
turkey,bottled water,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
bottled beer,seasonal products,,,,,,,,,
soda,soda,,,,,,,,,
hamburger meat,sliced cheese,,,,,,,,,
citrus fruit,sausage,domestic eggs,citrus fruit,dishes,,,,,,
male cosmetics,soda,,,,,,,,,
onions,bottled water,cream cheese ,hard cheese,,,,,,,
pork,beef,yogurt,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
rice,jam,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
other vegetables,other vegetables,other vegetables,hamburger meat,soda,soft cheese,waffles,,,,
tropical fruit,whole milk,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
chicken,grapes,,,,,,,,,
canned vegetables,chicken,rolls/buns,,,,,,,,
chocolate,whole milk,,,,,,,,,
pip fruit,white bread,,,,,,,,,
soda,red/blush wine,,,,,,,,,
sausage,sausage,pip fruit,sliced cheese,root vegetables,butter milk,,,,,
misc. beverages,coffee,,,,,,,,,
hamburger meat,butter,,,,,,,,,
shopping bags,tropical fruit,red/blush wine,,,,,,,,
mustard,brown bread,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,pasta,rolls/buns,,,,,,,,
salt,domestic eggs,,,,,,,,,
pastry,whole milk,,,,,,,,,
beef,long life bakery product,,,,,,,,,
onions,other vegetables,,,,,,,,,
curd,waffles,,,,,,,,,
canned beer,UHT-milk,,,,,,,,,
chicken,waffles,pip fruit,tropical fruit,pastry,bottled water,shopping bags,bottled water,,,
other vegetables,semi-finished bread,shopping bags,,,,,,,,
rolls/buns,bottled water,white bread,brown bread,,,,,,,
beef,specialty chocolate,,,,,,,,,
frankfurter,soda,napkins,,,,,,,,
chicken,yogurt,,,,,,,,,
beef,dessert,,,,,,,,,
cream cheese ,root vegetables,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
pip fruit,margarine,specialty cheese,,,,,,,,
pork,bottled beer,butter,,,,,,,,
sausage,rolls/buns,,,,,,,,,
tropical fruit,skin care,,,,,,,,,
beef,rolls/buns,,,,,,,,,
canned beer,baking powder,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
rolls/buns,cream cheese ,yogurt,,,,,,,,
rolls/buns,curd,,,,,,,,,
frozen meals,napkins,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
tropical fruit,sausage,,,,,,,,,
frankfurter,beef,meat,waffles,whole milk,curd,white bread,frozen meals,sugar,,
pip fruit,turkey,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,waffles,rolls/buns,chocolate,,,,,,,
hamburger meat,salty snack,,,,,,,,,
bottled water,whole milk,,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
butter,dessert,,,,,,,,,
soda,chocolate marshmallow,hard cheese,,,,,,,,
whole milk,bottled water,,,,,,,,,
ham,other vegetables,,,,,,,,,
white wine,coffee,,,,,,,,,
canned beer,dessert,,,,,,,,,
misc. beverages,shopping bags,yogurt,,,,,,,,
root vegetables,soda,specialty bar,other vegetables,frozen vegetables,,,,,,
softener,yogurt,cling film/bags,,,,,,,,
shopping bags,white bread,ice cream,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
berries,coffee,,,,,,,,,
fruit/vegetable juice,butter,brown bread,dental care,,,,,,,
pip fruit,grapes,pastry,,,,,,,,
sausage,butter,,,,,,,,,
bottled water,sliced cheese,,,,,,,,,
sausage,pip fruit,hard cheese,frozen vegetables,,,,,,,
hamburger meat,yogurt,,,,,,,,,
sausage,yogurt,,,,,,,,,
hard cheese,soda,,,,,,,,,
chicken,herbs,soda,,,,,,,,
canned beer,root vegetables,,,,,,,,,
baking powder,soda,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
hygiene articles,vinegar,,,,,,,,,
ice cream,other vegetables,misc. beverages,,,,,,,,
specialty bar,sliced cheese,,,,,,,,,
ice cream,margarine,sliced cheese,pastry,,,,,,,
dessert,canned beer,specialty chocolate,,,,,,,,
yogurt,frozen dessert,,,,,,,,,
pork,other vegetables,cream cheese ,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
whole milk,yogurt,long life bakery product,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
tropical fruit,cake bar,soda,cat food,,,,,,,
sausage,root vegetables,salty snack,coffee,,,,,,,
curd,root vegetables,,,,,,,,,
tropical fruit,butter milk,softener,,,,,,,,
whipped/sour cream,shopping bags,bottled water,,,,,,,,
sugar,whole milk,ketchup,,,,,,,,
other vegetables,newspapers,,,,,,,,,
beverages,yogurt,,,,,,,,,
beef,pip fruit,,,,,,,,,
onions,soft cheese,,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
shopping bags,soda,soups,,,,,,,,
canned fish,rolls/buns,chocolate,artif. sweetener,,,,,,,
chocolate,waffles,,,,,,,,,
chicken,other vegetables,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
pip fruit,specialty fat,,,,,,,,,
root vegetables,yogurt,tropical fruit,shopping bags,,,,,,,
pastry,whole milk,,,,,,,,,
chicken,hygiene articles,,,,,,,,,
citrus fruit,beef,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
beef,frozen dessert,,,,,,,,,
root vegetables,dessert,,,,,,,,,
tropical fruit,coffee,newspapers,,,,,,,,
pastry,chocolate,,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
